date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2023-01-26,0.6185857332938495,1.011875460277418,0.48598174169473873,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,287.7818603515625
2023-01-27,0.6185857332938495,0.9739794595533287,0.71106321935427,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,290.64654541015625
2023-01-30,0.6185857332938495,0.9888749429149389,0.6696134922290337,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,284.77001953125
2023-01-31,0.6185857332938495,0.9650076145846787,0.7336804235037986,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,289.0376281738281
2023-02-01,0.6185857332938495,0.9931448515886696,0.6166161253240134,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,295.2182922363281
2023-02-02,0.49608588643679136,1.0168070518606611,0.517692061262365,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,305.81365966796875
2023-02-03,0.49608588643679136,1.0152245215852869,0.6533310877224969,MID_CYCLE,MID_CYCLE,MID_CYCLE,RECOVERY,DEPLOY_FAST,False,QQQ,300.3785705566406
2023-02-06,0.49608588643679136,0.98736681259755,0.6586515950863866,MID_CYCLE,MID_CYCLE,MID_CYCLE,RECOVERY,DEPLOY_BASE,False,QQQ,297.837646484375
2023-02-07,0.49608588643679136,0.9918644440985136,0.6820507278874357,MID_CYCLE,MID_CYCLE,MID_CYCLE,RECOVERY,DEPLOY_BASE,False,QQQ,304.0085144042969
2023-02-08,0.49608588643679136,0.9735614594104033,0.6701775277261413,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,298.60284423828125
2023-02-09,0.49608588643679136,0.9745925385941631,0.7241410286328013,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,295.9638366699219
2023-02-10,0.49608588643679136,0.9907307496226843,0.695338080875783,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,294.021484375
2023-02-13,0.49608588643679136,0.98849877796776,0.7098871229049641,RECOVERY,MID_CYCLE,RECOVERY,MID_CYCLE,DEPLOY_BASE,False,QQQ,298.7304382324219
2023-02-14,0.49608588643679136,1.0047005707932695,0.6706388499065423,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_BASE,False,QQQ,300.93780517578125
2023-02-15,0.49608588643679136,0.9473691643725564,0.7872602735790939,MID_CYCLE,MID_CYCLE,MID_CYCLE,RECOVERY,DEPLOY_BASE,False,QQQ,303.2433166503906
2023-02-16,0.49608588643679136,0.8902634781621005,0.836325105541792,MID_CYCLE,MID_CYCLE,MID_CYCLE,RECOVERY,DEPLOY_BASE,False,QQQ,297.5531921386719
2023-02-17,0.49608588643679136,0.7964008127657932,0.812405063949457,BUST,MID_CYCLE,BUST,RECOVERY,DEPLOY_BASE,False,QQQ,295.4537658691406
2023-02-20,0.49608588643679136,0.7711438551597903,0.7398650055500272,BUST,MID_CYCLE,BUST,RECOVERY,DEPLOY_BASE,False,QQQ,295.4537658691406
2023-02-21,0.49608588643679136,0.7670369955860541,0.7461964515645307,BUST,MID_CYCLE,BUST,RECOVERY,DEPLOY_PAUSE,False,QQQ,288.45880126953125
2023-02-22,0.49608588643679136,0.7068599313009402,0.6551365718538125,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,288.67462158203125
2023-02-23,0.49608588643679136,0.755607878767046,0.747196742316883,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,291.1960144042969
2023-02-24,0.49608588643679136,0.8152966624825346,0.8415183833066963,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,286.3200378417969
2023-02-27,0.49608588643679136,0.8199439998383818,0.8555181787333112,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,288.3705749511719
2023-02-28,0.49608588643679136,0.8416378010395338,0.8458264443968814,MID_CYCLE,MID_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,287.9976806640625
2023-03-01,0.49608588643679136,0.8299868281695897,0.8450608367182335,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,285.6824035644531
2023-03-02,0.49608588643679136,0.7798733275310081,0.8616453081975718,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,288.0467834472656
2023-03-03,0.49608588643679136,0.8138562034482478,0.894459311853067,BUST,MID_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,294.00177001953125
2023-03-06,0.49608588643679136,0.8317819288969991,0.8075660237981526,MID_CYCLE,MID_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,294.3352966308594
